"872","002409.SZ","雅克科技","82.5638","材料","材料","化工","特种化工","46285.35"
"873","002410.SZ","广联达","310.3200","信息技术","软件与服务","软件","应用软件","112655.19"
"874","002411.SZ","延安必康","343.1397","医疗保健","制药、生物科技与生命科学","制药","西药","153228.39"
"875","002412.SZ","汉森制药","46.2707","医疗保健","制药、生物科技与生命科学","制药","中药","29600.00"
"876","002413.SZ","雷科防务","83.5434","工业","资本货物","航空航天与国防","航天航空与国防","113974.67"
"877","002414.SZ","高德红外","166.4766","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","62425.60"
"878","002415.SZ","海康威视","3328.2407","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","934846.56"
"879","002416.SZ","爱施德","78.1243","信息技术","技术硬件与设备","电子设备、仪器和元件","技术产品经销商","123928.18"
"880","002417.SZ","深南股份","24.8886","金融","多元金融","多元金融服务","其他多元金融服务","27000.00"
"881","002418.SZ","康盛股份","49.6834","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","113640.00"
"882","002419.SZ","天虹股份","151.1658","可选消费","零售业","多元化零售","百货商店","120030.00"
"883","002420.SZ","毅昌股份","18.0851","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","40100.00"
"884","002421.SZ","达实智能","92.1406","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","190215.92"
"885","002422.SZ","科伦药业","349.3217","医疗保健","制药、生物科技与生命科学","制药","西药","143978.95"
"886","002423.SZ","中原特钢","306.5843","金融","多元金融","资本市场","多元资本市场","50298.66"
"887","002424.SZ","贵州百灵","147.0753","医疗保健","制药、生物科技与生命科学","制药","中药","141120.00"
"888","002425.SZ","凯撒文化","57.4178","信息技术","软件与服务","软件","家庭娱乐软件","81374.44"
"889","002426.SZ","胜利精密","130.9842","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","344151.78"
"890","002427.SZ","*ST尤夫","57.9156","材料","材料","化工","化纤","39815.47"
"891","002428.SZ","云南锗业","51.6357","材料","材料","金属、非金属与采矿","金属非金属","65312.00"
"892","002429.SZ","兆驰股份","140.1541","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","452694.06"
"893","002430.SZ","杭氧股份","113.2252","工业","资本货物","机械","工业机械","96460.38"
"894","002431.SZ","棕榈股份","70.7508","工业","资本货物","建筑与工程","建筑与工程","148698.55"
"895","002432.SZ","九安医疗","29.5174","医疗保健","医疗保健设备与服务","医疗保健设备与用品","医疗保健设备","43280.59"
"896","002433.SZ","太安堂","44.9789","医疗保健","制药、生物科技与生命科学","制药","中药","76677.32"
"897","002434.SZ","万里扬","93.3930","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","135000.00"
"898","002435.SZ","长江润发","57.4650","医疗保健","医疗保健设备与服务","医疗保健设备与用品","医疗保健用品","83432.06"
"899","002436.SZ","兴森科技","81.7159","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","148790.75"
"900","002437.SZ","誉衡药业","84.1002","医疗保健","制药、生物科技与生命科学","制药","西药","219812.30"
"901","002438.SZ","江苏神通","33.4891","工业","资本货物","机械","工业机械","48577.22"
"902","002439.SZ","启明星辰","246.9312","信息技术","软件与服务","软件","应用软件","89669.26"
"903","002440.SZ","闰土股份","130.0985","材料","材料","化工","特种化工","115050.00"
"904","002441.SZ","众业达","46.5735","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","54528.31"
"905","002442.SZ","龙星化工","38.9568","材料","材料","化工","基础化工","48000.00"
"906","002443.SZ","金洲管道","35.8128","材料","材料","金属、非金属与采矿","钢铁","52053.55"
"907","002444.SZ","巨星科技","122.6212","工业","资本货物","机械","工业机械","107524.77"
"908","002445.SZ","ST中南","29.4447","可选消费","媒体","媒体","电影与娱乐","140883.91"
"909","002446.SZ","盛路通信","83.5126","信息技术","技术硬件与设备","通信设备","通信设备","76211.03"
"910","002447.SZ","晨鑫科技","47.0403","可选消费","媒体","媒体","电影与娱乐","142719.30"
"911","002448.SZ","中原内配","38.8752","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","60761.53"
"912","002449.SZ","国星光电","80.5134","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体产品","61847.72"
"913","002450.SZ","ST康得新","253.8117","材料","材料","化工","基础化工","354090.03"
"914","002451.SZ","摩恩电气","62.9110","工业","资本货物","电气设备","电气部件与设备","43920.00"
"915","002452.SZ","长高集团","22.7960","工业","资本货物","电气设备","电气部件与设备","52940.00"
"916","002453.SZ","华软科技","36.2547","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","57130.00"
"917","002454.SZ","松芝股份","32.3468","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","62858.16"
"918","002455.SZ","百川股份","30.2328","材料","材料","化工","特种化工","51697.71"
"919","002456.SZ","欧菲科技","392.9317","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","271286.72"
"920","002457.SZ","青龙管业","30.8461","工业","资本货物","建筑产品","建筑产品","33499.20"
"921","002458.SZ","益生股份","137.2726","日常消费","食品、饮料与烟草","食品","食品加工与肉类","33737.87"
"922","002459.SZ","天业通联","49.4724","工业","资本货物","机械","建筑机械与重型卡车","38868.94"
"923","002460.SZ","赣锋锂业","363.6465","材料","材料","金属、非金属与采矿","金属非金属","131508.19"
"924","002461.SZ","珠江啤酒","124.2120","日常消费","食品、饮料与烟草","饮料","啤酒","221332.84"
"925","002462.SZ","嘉事堂","42.9953","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","25052.63"
"926","002463.SZ","沪电股份","190.5223","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","172512.06"
"927","002464.SZ","众应互联","33.4666","信息技术","软件与服务","互联网软件与服务","互联网软件与服务","32612.15"
"928","002465.SZ","海格通信","230.2791","信息技术","技术硬件与设备","通信设备","通信设备","230694.34"
"929","002466.SZ","天齐锂业","431.9929","材料","材料","金属、非金属与采矿","金属非金属","114205.29"
"930","002467.SZ","二六三","52.1030","电信服务","电信服务","多元电信服务","非传统电信运营商","79498.02"
"931","002468.SZ","申通快递","336.7765","工业","运输","航空货运与物流","航空货运与物流","153080.22"
"932","002469.SZ","三维工程","23.1400","工业","资本货物","建筑与工程","建筑与工程","50326.28"
"933","002470.SZ","金正大","259.0378","材料","材料","化工","化肥与农用化工","329062.28"
"934","002471.SZ","中超控股","43.3402","工业","资本货物","电气设备","电气部件与设备","126800.00"
"935","002472.SZ","双环传动","50.3097","工业","资本货物","机械","工业机械","68654.12"
"936","002473.SZ","*ST圣莱","14.0768","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","16000.00"
"937","002474.SZ","榕基软件","52.4888","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","62220.00"
"938","002475.SZ","立讯精密","862.5882","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","411461.66"
"939","002476.SZ","宝莫股份","33.4030","材料","材料","化工","特种化工","61200.00"
"940","002477.SZ","雏鹰农牧","80.8871","日常消费","食品、饮料与烟草","食品","食品加工与肉类","313515.97"
"941","002478.SZ","常宝股份","54.1820","材料","材料","金属、非金属与采矿","钢铁","95999.29"
"942","002479.SZ","富春环保","48.0311","公用事业","公用事业","复合型公用事业","复合型公用事业","89410.00"
"943","002480.SZ","新筑股份","38.5376","工业","资本货物","机械","建筑机械与重型卡车","65473.30"
"944","002481.SZ","双塔食品","44.8366","日常消费","食品、饮料与烟草","食品","食品加工与肉类","124339.00"
"945","002482.SZ","广田集团","91.8678","工业","资本货物","建筑与工程","建筑与工程","153727.97"
"946","002483.SZ","润邦股份","30.1526","工业","资本货物","机械","建筑机械与重型卡车","67244.78"
"947","002484.SZ","江海股份","62.3920","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","81515.54"
"948","002485.SZ","希努尔","45.9245","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","54400.00"
"949","002486.SZ","嘉麟杰","35.3933","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","纺织品","83200.00"
"950","002487.SZ","大金重工","27.6879","工业","资本货物","电气设备","重型电气设备","55509.00"
"951","002488.SZ","金固股份","96.6508","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","101120.37"
"952","002489.SZ","浙江永强","71.6688","可选消费","耐用消费品与服装","休闲设备与用品","休闲用品","217573.66"
"953","002490.SZ","山东墨龙","39.2541","能源","能源","能源设备与服务","石油天然气设备与服务","79784.84"
"954","002491.SZ","通鼎互联","131.6557","信息技术","技术硬件与设备","通信设备","通信设备","126155.31"
"955","002492.SZ","恒基达鑫","25.6770","工业","运输","交通基础设施","海港与服务","40500.00"
"956","002493.SZ","荣盛石化","711.5243","材料","材料","化工","化纤","629110.75"
"957","002494.SZ","华斯股份","23.5192","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","38556.08"
"958","002495.SZ","佳隆股份","34.8614","日常消费","食品、饮料与烟草","食品","食品加工与肉类","93562.56"
"959","002496.SZ","辉丰股份","45.3456","材料","材料","化工","化肥与农用化工","150750.12"
"960","002497.SZ","雅化集团","78.4128","材料","材料","化工","基础化工","96000.00"
"961","002498.SZ","汉缆股份","99.1385","工业","资本货物","电气设备","电气部件与设备","332679.59"
"962","002499.SZ","科林环保","15.9743","公用事业","公用事业","电力","电力","18900.00"
"963","002500.SZ","山西证券","246.3820","金融","多元金融","资本市场","投资银行业与经纪业","282872.53"
"964","002501.SZ","利源精制","41.8632","材料","材料","金属、非金属与采矿","铝","121483.56"
"965","002502.SZ","骅威文化","38.5375","可选消费","媒体","媒体","电影与娱乐","85982.89"
"966","002503.SZ","搜于特","91.9093","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","309250.53"
"967","002504.SZ","弘高创意","42.8374","工业","资本货物","建筑与工程","建筑与工程","102580.05"
"968","002505.SZ","大康农业","116.7287","日常消费","食品、饮料与烟草","食品","食品加工与肉类","548537.25"
"969","002506.SZ","协鑫集成","267.5362","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体产品","506505.59"
"970","002507.SZ","涪陵榨菜","210.5847","日常消费","食品、饮料与烟草","食品","食品加工与肉类","78935.72"
"971","002508.SZ","老板电器","260.6969","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","94902.41"
"972","002509.SZ","天广中茂","76.6691","工业","资本货物","建筑与工程","建筑与工程","249249.27"
"973","002510.SZ","天汽模","43.9246","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","92085.11"
"974","002511.SZ","中顺洁柔","110.9644","日常消费","家庭与个人用品","家庭用品","家庭用品","128669.27"
"975","002512.SZ","达华智能","67.7825","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","109538.61"
"976","002513.SZ","蓝丰生化","20.8201","材料","材料","化工","化肥与农用化工","34008.63"
"977","002514.SZ","宝馨科技","33.9623","工业","资本货物","机械","工业机械","55403.43"
"978","002515.SZ","金字火腿","51.4593","日常消费","食品、饮料与烟草","食品","食品加工与肉类","97831.33"
"979","002516.SZ","旷达科技","51.5321","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","150239.30"
"980","002517.SZ","恺英网络","99.5755","信息技术","软件与服务","软件","家庭娱乐软件","215251.77"
"981","002518.SZ","科士达","68.0413","工业","资本货物","电气设备","电气部件与设备","58244.54"
"982","002519.SZ","银河电子","55.3979","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","112643.09"
"983","002520.SZ","日发精机","61.7941","工业","资本货物","机械","工业机械","75635.43"
"984","002521.SZ","齐峰新材","31.1850","材料","材料","纸与林木产品","纸制品","49468.58"
"985","002522.SZ","浙江众成","53.5316","材料","材料","化工","基础化工","90577.94"
"986","002523.SZ","天桥起重","53.0107","工业","资本货物","机械","建筑机械与重型卡车","141664.08"
"987","002524.SZ","光正集团","26.5860","公用事业","公用事业","燃气","燃气","50333.28"
"988","002526.SZ","山东矿机","57.4773","工业","资本货物","机械","工业机械","178279.38"
"989","002527.SZ","新时达","41.4779","工业","资本货物","电气设备","电气部件与设备","62018.43"
"990","002528.SZ","英飞拓","55.3548","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","119867.51"
"991","002529.SZ","海源复材","21.5436","材料","材料","化工","特种化工","26000.00"
"992","002530.SZ","金财互联","73.1794","信息技术","软件与服务","互联网软件与服务","互联网软件与服务","78518.70"
"993","002531.SZ","天顺风能","99.5183","工业","资本货物","电气设备","重型电气设备","177901.91"
"994","002532.SZ","新界泵业","29.5811","工业","资本货物","机械","工业机械","50308.00"
"995","002533.SZ","金杯电工","29.0389","工业","资本货物","电气设备","电气部件与设备","55312.13"
"996","002534.SZ","杭锅股份","48.5189","工业","资本货物","机械","工业机械","73939.19"
"997","002535.SZ","林州重机","32.5964","工业","资本货物","机械","工业机械","80168.31"
"998","002536.SZ","西泵股份","39.0221","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","33380.79"
"999","002537.SZ","海联金汇","147.3602","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","124733.52"
"1000","002538.SZ","司尔特","41.3494","材料","材料","化工","化肥与农用化工","71812.03"
"1001","002539.SZ","云图控股","53.6767","材料","材料","化工","化肥与农用化工","101010.00"
"1002","002540.SZ","亚太科技","69.2693","材料","材料","金属、非金属与采矿","铝","127052.95"
"1003","002541.SZ","鸿路钢构","43.3744","工业","资本货物","建筑与工程","建筑与工程","52371.89"
"1004","002542.SZ","中化岩土","90.0443","工业","资本货物","建筑与工程","建筑与工程","181102.88"
"1005","002543.SZ","万和电气","83.1688","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","57200.00"
"1006","002544.SZ","杰赛科技","77.9744","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","57115.72"
"1007","002545.SZ","东方铁塔","97.8481","工业","资本货物","建筑产品","建筑产品","126223.01"
"1008","002546.SZ","新联电子","39.5172","工业","资本货物","电气设备","电气部件与设备","83404.91"
"1009","002547.SZ","春兴精工","102.8337","工业","资本货物","机械","工业机械","112805.72"
"1010","002548.SZ","金新农","35.4131","日常消费","食品、饮料与烟草","食品","农产品","38055.19"
"1011","002549.SZ","凯美特气","39.4054","材料","材料","化工","工业气体","62370.00"
"1012","002550.SZ","千红制药","62.0800","医疗保健","制药、生物科技与生命科学","制药","西药","128000.00"
"1013","002551.SZ","尚荣医疗","41.9315","医疗保健","医疗保健设备与服务","医疗保健设备与用品","医疗保健设备","70591.79"
"1014","002552.SZ","宝鼎科技","25.3560","工业","资本货物","机械","建筑机械与重型卡车","30623.23"
"1015","002553.SZ","南方轴承","22.2372","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","34800.00"
"1016","002554.SZ","惠博普","33.4307","能源","能源","能源设备与服务","石油天然气设备与服务","107081.00"
"1017","002555.SZ","三七互娱","296.2069","信息技术","软件与服务","软件","家庭娱乐软件","212487.03"
"1018","002556.SZ","辉隆股份","42.7690","材料","材料","化工","化肥与农用化工","71760.00"
"1019","002557.SZ","洽洽食品","112.6554","日常消费","食品、饮料与烟草","食品","食品加工与肉类","50700.00"
"1020","002558.SZ","巨人网络","455.2426","信息技术","软件与服务","软件","家庭娱乐软件","202437.98"
"1021","002559.SZ","亚威股份","30.0492","工业","资本货物","机械","工业机械","37300.35"
"1022","002560.SZ","通达股份","25.4508","工业","资本货物","电气设备","电气部件与设备","42914.14"
"1023","002561.SZ","徐家汇","37.9508","可选消费","零售业","多元化零售","百货商店","41576.30"
"1024","002562.SZ","兄弟科技","43.5656","医疗保健","制药、生物科技与生命科学","制药","西药","87763.08"
"1025","002563.SZ","森马服饰","289.9636","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","269984.78"
"1026","002564.SZ","天沃科技","51.2797","工业","资本货物","机械","工业机械","88291.44"
"1027","002565.SZ","顺灏股份","81.0790","材料","材料","容器与包装","纸包装","70910.46"
"1028","002566.SZ","益盛药业","23.0739","医疗保健","制药、生物科技与生命科学","制药","中药","33095.16"
"1029","002567.SZ","唐人神","78.7380","日常消费","食品、饮料与烟草","食品","农产品","83657.08"
"1030","002568.SZ","百润股份","72.5437","日常消费","食品、饮料与烟草","饮料","白酒与葡萄酒","53174.27"
"1031","002569.SZ","步森股份","16.8880","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","14001.00"
"1032","002570.SZ","*ST因美","61.3921","日常消费","食品、饮料与烟草","食品","食品加工与肉类","102252.00"
"1033","002571.SZ","德力股份","21.2672","可选消费","耐用消费品与服装","家庭耐用消费品","家用器具与特殊消费品","39195.07"
"1034","002572.SZ","索菲亚","194.1227","可选消费","耐用消费品与服装","家庭耐用消费品","家庭装饰品","92342.63"
"1035","002573.SZ","清新环境","99.8447","工业","商业和专业服务","商业服务与用品","环境与设施服务","108127.21"
"1036","002574.SZ","明牌珠宝","30.9302","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","52800.00"
"1037","002575.SZ","群兴玩具","58.4481","可选消费","耐用消费品与服装","休闲设备与用品","休闲用品","58872.00"
"1038","002576.SZ","通达动力","20.1884","工业","资本货物","电气设备","电气部件与设备","16510.00"
"1039","002577.SZ","雷柏科技","36.0729","信息技术","技术硬件与设备","电脑与外围设备","电脑存储与外围设备","28288.00"
"1040","002578.SZ","闽发铝业","35.9271","材料","材料","金属、非金属与采矿","铝","98809.33"
"1041","002579.SZ","中京电子","42.1159","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","37277.28"
"1042","002580.SZ","圣阳股份","21.7816","工业","资本货物","电气设备","电气部件与设备","35405.72"
"1043","002581.SZ","未名医药","54.5337","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","65973.56"
"1044","002582.SZ","好想你","47.3192","日常消费","食品、饮料与烟草","食品","食品加工与肉类","51568.42"
"1045","002583.SZ","海能达","212.7869","信息技术","技术硬件与设备","通信设备","通信设备","183722.05"
"1046","002584.SZ","西陇科学","40.9534","材料","材料","化工","特种化工","58521.64"
"1047","002585.SZ","双星新材","74.2099","材料","材料","化工","基础化工","115627.81"
"1048","002586.SZ","围海股份","61.8338","工业","资本货物","建筑与工程","建筑与工程","114422.37"
"1049","002587.SZ","奥拓电子","42.9487","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","61921.48"
"1050","002588.SZ","史丹利","57.2889","材料","材料","化工","化肥与农用化工","115688.40"
"1051","002589.SZ","瑞康医药","115.9530","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","150471.05"
"1052","002590.SZ","万安科技","42.0746","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","47964.69"
"1053","002591.SZ","恒大高新","24.4666","材料","材料","化工","特种化工","30682.99"
"1054","002592.SZ","八菱科技","56.0259","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","28333.12"
"1055","002593.SZ","日上集团","26.8104","材料","材料","金属、非金属与采矿","钢铁","70111.00"
"1056","002594.SZ","比亚迪","1469.8142","可选消费","汽车与汽车零部件","汽车","汽车制造","272814.28"
"1057","002595.SZ","豪迈科技","157.3600","工业","资本货物","机械","工业机械","80000.00"
"1058","002596.SZ","海南瑞泽","113.5930","材料","材料","建材","建材","115416.62"
"1059","002597.SZ","金禾实业","97.1139","材料","材料","化工","基础化工","55876.84"
"1060","002598.SZ","山东章鼓","23.7120","工业","资本货物","机械","工业机械","31200.00"
"1061","002599.SZ","盛通股份","36.9336","工业","商业和专业服务","商业服务与用品","商业印刷","32454.84"
"1062","002600.SZ","领益智造","454.5622","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","682525.88"
"1063","002601.SZ","龙蟒佰利","300.2514","材料","材料","化工","基础化工","203202.09"
"1064","002602.SZ","世纪华通","475.2163","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","233475.62"
"1065","002603.SZ","以岭药业","151.5604","医疗保健","制药、生物科技与生命科学","制药","中药","120630.66"
"1066","002604.SZ","*ST龙力","10.9360","日常消费","食品、饮料与烟草","食品","食品加工与肉类","59956.14"
"1067","002605.SZ","姚记扑克","43.1341","可选消费","耐用消费品与服装","休闲设备与用品","休闲用品","39776.92"
"1068","002606.SZ","大连电瓷","29.2012","工业","资本货物","电气设备","电气部件与设备","40749.60"
"1069","002607.SZ","中公教育","747.1188","可选消费","消费者服务","综合消费者服务","教育服务",
"1070","002608.SZ","江苏国信","380.3015","金融","多元金融","资本市场","资产管理与托管银行","377807.97"
"1071","002609.SZ","捷顺科技","47.8598","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","66547.88"
"1072","002610.SZ","爱康科技","95.9057","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体产品","448996.91"
"1073","002611.SZ","东方精工","78.7309","工业","资本货物","机械","工业机械","183864.70"
"1074","002612.SZ","朗姿股份","41.1920","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","40000.00"
"1075","002613.SZ","北玻股份","31.9575","工业","资本货物","机械","工业机械","93717.00"
"1076","002614.SZ","奥佳华","99.9335","医疗保健","医疗保健设备与服务","医疗保健设备与用品","医疗保健设备","56160.20"
"1077","002615.SZ","哈尔斯","26.0686","可选消费","耐用消费品与服装","家庭耐用消费品","家用器具与特殊消费品","41040.00"
"1078","002616.SZ","长青集团","61.1608","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","74188.31"
"1079","002617.SZ","露笑科技","50.5266","工业","资本货物","电气设备","电气部件与设备","110223.72"
"1080","002618.SZ","丹邦科技","87.8864","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","54792.00"
"1081","002619.SZ","艾格拉斯","80.3637","信息技术","软件与服务","软件","家庭娱乐软件","184489.62"
"1082","002620.SZ","瑞和股份","25.3388","工业","资本货物","建筑与工程","建筑与工程","36250.00"
"1083","002621.SZ","三垒股份","77.5763","工业","资本货物","机械","工业机械","34759.50"
"1084","002622.SZ","融钰集团","36.5232","工业","资本货物","电气设备","电气部件与设备","84000.00"
"1085","002623.SZ","亚玛顿","28.7040","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体设备","16000.00"
"1086","002624.SZ","完美世界","405.8787","信息技术","软件与服务","软件","家庭娱乐软件","131479.97"
"1087","002625.SZ","光启技术","250.9664","工业","资本货物","航空航天与国防","航天航空与国防","215458.80"
"1088","002626.SZ","金达威","87.4541","医疗保健","制药、生物科技与生命科学","制药","西药","61648.19"
"1089","002627.SZ","宜昌交运","23.3959","工业","运输","公路与铁路运输","公路运输","31471.46"
"1090","002628.SZ","成都路桥","44.8945","工业","资本货物","建筑与工程","建筑与工程","76066.62"
"1091","002629.SZ","仁智股份","17.5984","能源","能源","能源设备与服务","石油天然气设备与服务","41194.80"
"1092","002630.SZ","华西能源","43.8549","工业","资本货物","电气设备","重型电气设备","118080.00"
"1093","002631.SZ","德尔未来","53.8434","材料","材料","纸与林木产品","林木产品","66786.60"
"1094","002632.SZ","道明光学","55.1250","材料","材料","化工","基础化工","62642.07"
"1095","002633.SZ","申科股份","13.6620","工业","资本货物","机械","工业机械","15000.00"
"1096","002634.SZ","棒杰股份","23.8799","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","46100.26"
"1097","002635.SZ","安洁科技","109.7777","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","73795.18"
"1098","002636.SZ","金安国纪","68.6795","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","72800.00"
"1099","002637.SZ","赞宇科技","34.8330","材料","材料","化工","特种化工","42345.00"
"1100","002638.SZ","勤上股份","48.1423","工业","资本货物","电气设备","电气部件与设备","151868.56"
"1101","002639.SZ","雪人股份","55.6110","工业","资本货物","机械","工业机械","67407.28"
"1102","002640.SZ","跨境通","192.2311","可选消费","零售业","互联网与售货目录零售","互联网零售","155804.12"
"1103","002641.SZ","永高股份","43.4454","工业","资本货物","建筑产品","建筑产品","112320.00"
"1104","002642.SZ","荣之联","49.4862","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","66158.03"
"1105","002643.SZ","万润股份","104.2594","材料","材料","化工","特种化工","90913.32"
"1106","002644.SZ","佛慈制药","44.7846","医疗保健","制药、生物科技与生命科学","制药","中药","51065.70"
"1107","002645.SZ","华宏科技","30.9769","工业","资本货物","机械","工业机械","35605.65"
"1108","002646.SZ","青青稞酒","55.1430","日常消费","食品、饮料与烟草","饮料","白酒与葡萄酒","45000.00"
"1109","002647.SZ","仁东控股","84.4272","信息技术","软件与服务","信息技术服务","数据处理与外包服务","55993.67"
"1110","002648.SZ","卫星石化","145.9034","材料","材料","化工","基础化工","106561.08"
"1111","002649.SZ","博彦科技","49.3017","信息技术","软件与服务","信息技术服务","数据处理与外包服务","52549.26"
"1112","002650.SZ","加加食品","45.5501","日常消费","食品、饮料与烟草","食品","食品加工与肉类","115200.00"
"1113","002651.SZ","利君股份","58.0179","工业","资本货物","机械","工业机械","101750.00"
"1114","002652.SZ","扬子新材","26.2382","工业","资本货物","建筑产品","建筑产品","51206.40"
"1115","002653.SZ","海思科","125.8947","医疗保健","制药、生物科技与生命科学","制药","西药","108027.00"
"1116","002654.SZ","万润科技","44.2457","信息技术","半导体与半导体生产设备","半导体产品与半导体设备","半导体产品","90260.54"
"1117","002655.SZ","共达电声","27.4464","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","36000.00"
"1118","002656.SZ","摩登大道","53.0542","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","71251.98"
"1119","002657.SZ","中科金财","63.3429","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","33757.67"
"1120","002658.SZ","雪迪龙","50.6655","信息技术","技术硬件与设备","电子设备、仪器和元件","电子设备和仪器","60488.86"
"1121","002659.SZ","凯文教育","41.3611","可选消费","消费者服务","综合消费者服务","教育服务","49856.70"
"1122","002660.SZ","茂硕电源","20.2070","工业","资本货物","电气设备","电气部件与设备","27432.77"
"1123","002661.SZ","克明面业","46.7557","日常消费","食品、饮料与烟草","食品","食品加工与肉类","33193.03"
"1124","002662.SZ","京威股份","71.9400","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","150000.00"
"1125","002663.SZ","普邦股份","62.5329","工业","资本货物","建筑与工程","建筑与工程","179589.05"
"1126","002664.SZ","长鹰信质","56.4108","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","40002.00"
"1127","002665.SZ","首航节能","84.1840","工业","资本货物","电气设备","重型电气设备","253872.06"
"1128","002666.SZ","德联集团","38.5311","材料","材料","化工","特种化工","75432.93"
"1129","002667.SZ","鞍重股份","18.4074","工业","资本货物","机械","工业机械","23113.20"
"1130","002668.SZ","奥马电器","69.4265","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","108411.14"
"1131","002669.SZ","康达新材","34.2500","材料","材料","化工","基础化工","24112.93"
"1132","002670.SZ","国盛金控","276.2527","金融","多元金融","资本市场","投资银行业与经纪业","193508.47"
"1133","002671.SZ","龙泉股份","22.8567","工业","资本货物","建筑产品","建筑产品","47244.20"
"1134","002672.SZ","东江环保","110.1246","工业","商业和专业服务","商业服务与用品","环境与设施服务","88710.01"
"1135","002673.SZ","西部证券","383.8016","金融","多元金融","资本市场","投资银行业与经纪业","350183.97"
"1136","002674.SZ","兴业科技","33.0599","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","鞋类","30208.22"
"1137","002675.SZ","东诚药业","95.1105","医疗保健","制药、生物科技与生命科学","制药","西药","80221.43"
"1138","002676.SZ","顺威股份","26.8848","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","72000.00"
