"55","000070.SZ","特发信息","104.5576","信息技术","技术硬件与设备","通信设备","通信设备","62699.47"
"56","000078.SZ","海王生物","127.3551","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","264661.34"
"57","000088.SZ","盐田港","127.8744","工业","运输","交通基础设施","海港与服务","194220.00"
"58","000089.SZ","深圳机场","197.5711","工业","运输","交通基础设施","机场服务","205076.95"
"59","000090.SZ","天健集团","87.0455","工业","资本货物","建筑与工程","建筑与工程","143734.27"
"60","000096.SZ","广聚能源","57.5520","能源","能源","石油、天然气与供消费用燃料","石油与天然气的炼制和销售","52800.00"
"61","000099.SZ","中信海直","49.2978","工业","运输","航空","航空","60607.04"
"62","000100.SZ","TCL集团","500.5240","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","1354964.88"
"63","000150.SZ","宜华健康","81.7638","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理服务","62692.68"
"64","000151.SZ","中成股份","40.7801","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","29598.00"
"65","000153.SZ","丰原药业","20.7824","医疗保健","制药、生物科技与生命科学","制药","西药","31214.12"
"66","000155.SZ","川能动力","54.0004","公用事业","公用事业","独立电力生产商与能源贸易商","新能源发电业者","127000.00"
"67","000156.SZ","华数传媒","156.4934","可选消费","媒体","媒体","有线和卫星电视","143335.19"
"68","000157.SZ","中联重科","339.2028","工业","资本货物","机械","建筑机械与重型卡车","780853.69"
"69","000158.SZ","常山北明","102.2799","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","纺织品","165287.50"
"70","000159.SZ","国际实业","24.3804","能源","能源","石油、天然气与供消费用燃料","石油与天然气的炼制和销售","48068.60"
"71","000166.SZ","申万宏源","1307.0848","金融","多元金融","资本市场","投资银行业与经纪业","2253594.50"
"72","000301.SZ","东方盛虹","228.9308","材料","材料","化工","化纤","402905.31"
"73","000333.SZ","美的集团","3204.6958","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","657719.69"
"74","000338.SZ","潍柴动力","838.4518","工业","资本货物","机械","建筑机械与重型卡车","793387.38"
"75","000400.SZ","许继电气","113.5780","工业","资本货物","电气设备","电气部件与设备","100832.73"
"76","000401.SZ","冀东水泥","218.8108","材料","材料","建材","建材","134752.30"
"77","000402.SZ","金融街","245.3314","房地产","房地产","房地产管理和开发","房地产开发","298893.00"
"78","000403.SZ","振兴生化","76.9868","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","27257.76"
"79","000404.SZ","长虹华意","32.9067","工业","资本货物","机械","工业机械","69599.60"
"80","000407.SZ","胜利股份","39.8854","公用事业","公用事业","燃气","燃气","88008.47"
"81","000408.SZ","藏格控股","244.5171","材料","材料","化工","化肥与农用化工","199377.95"
"82","000409.SZ","*ST地矿","25.7509","工业","资本货物","综合类","综合类行业","51093.12"
"83","000410.SZ","沈阳机床","65.6315","工业","资本货物","机械","工业机械","76547.09"
"84","000411.SZ","英特集团","27.8688","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","20744.99"
"85","000413.SZ","东旭光电","346.7947","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","573025.00"
"86","000415.SZ","渤海租赁","293.7648","金融","多元金融","多元金融服务","其他多元金融服务","618452.12"
"87","000416.SZ","民生控股","29.9869","金融","多元金融","多元金融服务","其他多元金融服务","53187.15"
"88","000417.SZ","合肥百货","40.6944","可选消费","零售业","多元化零售","百货商店","77988.42"
"89","000418.SZ","小天鹅A","355.5593","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","63248.78"
"90","000419.SZ","通程控股","27.5379","可选消费","零售业","多元化零售","百货商店","54358.27"
"91","000420.SZ","吉林化纤","49.2677","材料","材料","化工","化纤","197070.67"
"92","000421.SZ","南京公用","30.1098","公用事业","公用事业","燃气","燃气","57264.69"
"93","000422.SZ","*ST宜化","34.2806","材料","材料","化工","化肥与农用化工","89786.67"
"94","000423.SZ","东阿阿胶","306.5007","医疗保健","制药、生物科技与生命科学","制药","中药","65402.15"
"95","000425.SZ","徐工机械","326.9773","工业","资本货物","机械","建筑机械与重型卡车","783366.81"
"96","000426.SZ","兴业矿业","128.4034","材料","材料","金属、非金属与采矿","金属非金属","186850.06"
"97","000428.SZ","华天酒店","31.5867","可选消费","消费者服务","酒店、餐馆与休闲","酒店、度假村与豪华游轮","101892.60"
"98","000429.SZ","粤高速A","185.0782","工业","运输","交通基础设施","公路与铁路","209080.61"
"99","000430.SZ","张家界","24.1109","可选消费","消费者服务","酒店、餐馆与休闲","酒店、度假村与豪华游轮","40481.77"
"100","000488.SZ","晨鸣纸业","200.5922","材料","材料","纸与林木产品","纸制品","290460.81"
