date,商业银行,房地产管理和开发,制药,商业服务与用品,机械,综合类,建筑与工程,建材,家庭耐用消费品,休闲设备与用品,饮料,电脑与外围设备,专营零售,纺织品、服装与奢侈品,电力,医疗保健提供商与服务,汽车零配件,电子设备、仪器和元件,媒体,独立电力生产商与能源贸易商,食品,电气设备,石油、天然气与供消费用燃料,金属、非金属与采矿,食品与主要用品零售,通信设备,酒店、餐馆与休闲,交通基础设施,航空,贸易公司与工业品经销商,资本市场,化工,生物科技,燃气,多元金融服务,多元化零售,纸与林木产品,互联网软件与服务,航空航天与国防,海运,家庭用品,综合消费者服务,水务,汽车,信息技术服务,公路与铁路运输,建筑产品,保险,容器与包装,半导体产品与半导体设备,复合型公用事业,专业服务,软件,能源设备与服务,航空货运与物流,互联网与售货目录零售,医疗保健设备与用品,消费品经销商,多元电信服务,个人用品,生命科学工具和服务
19910117,0,0,0.0,-0.5254,0,-0.5074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206024,0,0,0,0,0,0,0,0.5112,0,0,0,0,0,0,0,0
19910118,0,0,0,0,0,-0.255,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206438,0,0,0,0,0,0,0,0.5086,0,0,0,0,0,0,0,0
19910121,0,0,0,-0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910122,0,0,0.0,-0.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495978,0,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0
19910123,0,0,0.0,-0.4788,0,-0.4916,0,0,-0.5079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910124,0,0,0,-0.4811,0,-0.5138,0,0,-0.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910125,0,0,0,0,0,-0.5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.503419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910128,0,0,0,0,0,-0.5192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910129,0,-0.8838,0,-1.9335,0,-0.4817,0,0,-0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910130,0,-0.4801,0.0,-0.4929,0,-0.4841,0,0,-0.4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079755,0,0,0,0,0,0,0,0.5034,0,0,0,0,0,0,0,0
